"","time","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","fred","raoQ","simpson"
"7","7",43,0.510018584549731,0.557884101412647,0.515370939006693,0.828373,0.27188666123566,0.772287468232393,0.296285833019816,0.44492929262244,-0.00385502883801292,0.0719545412666844,-0.0112558869978822,-0.0219903365825316,0.314350465293316,0.66970419669025,0.976744186046512
"8","8",41,0.520717534602059,0.56674110637683,0.518152812497551,0.822591,0.268900588413248,0.781144188283362,0.291091221666481,0.451486004297049,-0.00760544023996531,0.0721357056994538,-0.0136461475977892,-0.0170406882974616,0.31376318043528,0.669499336160703,0.975609756097562
"9","9",39,0.523709147948915,0.570761736672378,0.537198905125895,0.82383,0.260124393454936,0.781985877935587,0.291767824197779,0.456309949846054,-0.0113038628908496,0.0742703631032267,-0.0103355675991065,-0.0179983027600419,0.311795621318303,0.670558112561654,0.974358974358975
"10","10",40,0.51847293672675,0.565413225352028,0.527560626312971,0.826173,0.260124393454936,0.7782260945195,0.286412969071947,0.451335493004506,-0.0113772861994567,0.07151999446916,-0.0100464383346486,-0.0213902476197059,0.312823481423851,0.669997105611746,0.975000000000001
"11","11",39,0.517141244677248,0.564856001114837,0.5262656415281,0.819635,0.255511416616592,0.777759954990052,0.288597873964233,0.45167435943159,-0.00928029098484506,0.0760340599113546,-0.00440131744208538,-0.0216227081147315,0.312182271798607,0.670181376196229,0.974358974358975
"12","12",39,0.517141244677248,0.564856001114837,0.5262656415281,0.819635,0.255511416616592,0.777759954990052,0.288597873964233,0.45167435943159,-0.00928029098484506,0.0760340599113546,-0.00440131744208538,-0.0216227081147315,0.312182271798607,0.670181376196229,0.974358974358975
"13","13",36,0.504098692257898,0.552339144801672,0.541657108543785,0.823088,0.198414090393447,0.774316423643602,0.296466696396244,0.442820830354639,-0.0204347645991212,0.0738015418078438,0.00322132424716402,-0.0278627083742118,0.310168804835528,0.670669217521014,0.972222222222223
"14","14",41,0.495762042525027,0.540788047374447,0.516429167725733,0.826156,0.203380260868942,0.773486388523945,0.293437460345421,0.431665497352935,-0.0163599508728064,0.0635653260207307,-0.00344309800112443,-0.0311001906312729,0.318048373227702,0.665318660265657,0.975609756097562
"15","15",54,0.50380173852269,0.545969728258159,0.474718651150282,0.809971,0.30186502846369,0.79248686438417,0.290900244263381,0.426358439276436,0.00942348789250195,0.035268974662909,-0.000243270020053884,-0.0117701002422608,0.322797604798538,0.664661610105137,0.98148148148148
"16","16",66,0.551637198958347,0.592217780780399,0.460535460106315,0.827092,0.410844939057328,0.802076576617623,0.302720816952466,0.463684511048121,-0.0087159700783649,0.0295444611941532,-0.000178781312739254,0.000764906905953036,0.314296997421595,0.675313563145398,0.984848484848484
"17","17",64,0.54918022278445,0.589889036742657,0.465577309278071,0.822004,0.407296511257808,0.799744660021698,0.298790759930513,0.461594193778469,-0.000480567274851551,0.0255115088674251,-0.000242791910037662,-0.00136481565051937,0.315142299945859,0.674156798490795,0.984375
"18","18",66,0.562896624852565,0.604011599167556,0.473669306090262,0.82826,0.472048427020708,0.805103337020274,0.299012529984427,0.472733910168469,-1.97432411836551e-05,0.0227796324232546,-0.00134783008558628,-3.27083337947577e-05,0.308815814368991,0.680711697969932,0.984848484848484
"19","19",63,0.57262973901674,0.613473086184045,0.475427744788413,0.822885,0.472048427020708,0.812546199277303,0.301389742340243,0.480499224425389,0.00181276816470246,0.0208976790759443,8.29240489785082e-05,0.00329525246978082,0.305780986200966,0.683199664373651,0.984126984126982
"20","20",63,0.57262973901674,0.613473086184045,0.475427744788413,0.822885,0.472048427020708,0.812546199277303,0.301389742340243,0.480499224425389,0.00181276816470246,0.0208976790759443,8.29240489785082e-05,0.00329525246978082,0.305780986200966,0.683199664373651,0.984126984126982
"21","21",63,0.591988141439956,0.633166590357618,0.465847355528645,0.826499,0.511565185354481,0.810647228133899,0.300751162997723,0.497445977006301,-0.00485643861116974,0.014821264261572,-0.00313295460678555,-0.0078495979641018,0.301187701421063,0.687720039871334,0.984126984126982
"22","22",63,0.591988141439956,0.633166590357618,0.465847355528645,0.826499,0.511565185354481,0.810647228133899,0.300751162997723,0.497445977006301,-0.00485643861116974,0.014821264261572,-0.00313295460678555,-0.0078495979641018,0.301187701421063,0.687720039871334,0.984126984126982
"23","23",63,0.591988141439956,0.633166590357618,0.465847355528645,0.826499,0.511565185354481,0.810647228133899,0.300751162997723,0.497445977006301,-0.00485643861116974,0.014821264261572,-0.00313295460678555,-0.0078495979641018,0.301187701421063,0.687720039871334,0.984126984126982
