LAT,Lat,Lon,Latitude,Longitude,Habitat,Area_GEBCO,log(Area),SST,log10_SST,O2,log10_O2,Chl_mean,log10_Chl,Carbon,log10_Carbon,Nitrate,log10_Nitrate,Species richness,FE,RaoQ,FRed,FRic,FEve,FSpe
15,15° 0'0''S,"75°26'50.41""O",-15,-75.447,Playa,287102.2282,5.458036563,19.489206,1.289794,229.368286,2.360533,0.992801,-0.003137794,0.037054,-1.431165,5.928758,0.772963724,371,117,0.66466161,0.315009415,0.301865028,0.809971,0.426358439
16,16° 0'0''S,"74° 1'49.68""O",-16,-74.03,Playa,285724.8965,5.455948084,20.01992,1.301462,232.323643,2.366093,0.23668,-0.625838439,0.00867,-2.061981,6.001584,0.778265889,445,129,0.675313563,0.314062308,0.410844939,0.827092,0.463684511
17,17° 0'0''S,"72° 6'51.11""O",-17,-72.114,Puerto-Rocoso,284260.9356,5.453717181,20.162996,1.304555,232.253284,2.365962,0.192688,-0.715145331,0.005682,-2.245499,6.121085,0.78682841,437,124,0.674156798,0.311962189,0.407296511,0.822004,0.461594194
18,18° 0'0''S,"70°53'24.23""O",-18,-70.89,Rocoso,282710.7701,5.451342354,19.719009,1.294885,232.429257,2.366291,0.223522,-0.650679725,0.007599,-2.119244,5.717485,0.757205034,473,129,0.680711698,0.31139322,0.472048427,0.82826,0.47273391
19,19° 0'0''S,"70°18'46.19""O",-19,-70.313,Rocoso,281074.8443,5.448821979,20.326252,1.308057,232.970858,2.367302,0.271091,-0.5668849,0.011547,-1.937531,4.516328,0.654785475,465,128,0.683199664,0.310119199,0.472048427,0.822885,0.480499224
20,20° 0'0''S,"70° 7'27.43""O",-20,-70.124,Rocoso,279353.633,5.446154324,19.585526,1.291935,235.170655,2.371383,0.164546,-0.783712671,0.003765,-2.424235,3.486793,0.542426165,467,128,0.683199664,0.309664156,0.472048427,0.822885,0.480499224
21,21° 0'0''S,"70°10'11.56""O",-21,-70.17,Rocoso,277547.6318,5.443337526,19.074209,1.280447,237.548236,2.375752,0.184438,-0.734149596,0.004842,-2.314975,2.851766,0.455113887,472,131,0.68772004,0.304850782,0.511565185,0.826499,0.497445977
22,22° 0'0''S,"70°11'15.49""O",-22,-70.188,Playa,275657.3647,5.4403696,18.548401,1.268306,238.635915,2.377736,0.238502,-0.622507975,0.008445,-2.0734,2.454519,0.389966398,475,131,0.68772004,0.303801898,0.511565185,0.826499,0.497445977
23,23° 0'0''S,"70°20'1.00""O",-23,-70.334,Playa,273683.3764,5.437248419,19.499426,1.290022,235.583056,2.372144,0.152657,-0.816283277,0.003191,-2.496073,2.208266,0.344051386,476,130,0.68772004,0.30390151,0.511565185,0.826499,0.497445977
24,24° 0'0''S,"70°31'2.38""O",-24,-70.517,Rocoso,271626.2412,5.433971724,18.678835,1.27135,239.955548,2.380131,0.198693,-0.701817433,0.005694,-2.244583,2.067387,0.315421781,477,130,0.68772004,0.303554772,0.511565185,0.826499,0.497445977
25,25° 0'0''S,"70°28'6.28""O",-25,-70.468,Rocoso,269486.5554,5.430537103,18.033648,1.256084,242.778332,2.38521,0.23242,-0.633726503,0.007642,-2.116793,2.035477,0.308666199,476,130,0.68772004,0.304054087,0.511565185,0.826499,0.497445977
26,26° 0'0''S,"70°37'51.36""O",-26,-70.631,Rocoso,267264.9395,5.426941991,19.329556,1.286222,236.445662,2.373731,0.140063,-0.853676576,0.002645,-2.577574,2.09188,0.320536768,508,136,0.690462841,0.298949166,0.522816472,0.827481,0.492779084
27,27° 0'0''S,"70°47'30.22""O",-27,-70.792,Rocoso,264962.0405,5.42318366,17.160473,1.234529,245.854626,2.390678,0.247979,-0.605585096,0.008483,-2.071451,2.17941,0.338338939,506,136,0.690462841,0.298477316,0.522816472,0.827481,0.492779084
28,28° 0'0''S,"71° 8'49.09""O",-28,-71.147,Rocoso,262578.5286,5.41925921,17.880468,1.252379,243.371903,2.38627,0.201856,-0.694958337,0.005735,-2.241467,2.316116,0.364760307,507,136,0.690462841,0.298843048,0.522816472,0.827481,0.492779084
29,29° 0'0''S,"71°29'38.56""O",-29,-71.494,Rocoso,260115.0978,5.415165561,18.451529,1.266032,240.969375,2.381962,0.159012,-0.7985701,0.003413,-2.466864,2.501313,0.39816804,505,135,0.690462841,0.298251126,0.522816472,0.827481,0.492779084
30,30° 0'0''S,"71°25'1.52""O",-30,-71.417,Rocoso,257572.4672,5.410899438,16.99342,1.230281,247.616023,2.393779,0.22798,-0.642103251,0.006998,-2.155026,2.751268,0.439532897,532,138,0.694142949,0.294162573,0.57688857,0.82318,0.500555169
