"","time","msimpson","mraoQ","mfred","mfric","mfeve","mfspe","mfdis","mfdiv","mfori","mTaxRich","sd.simpson","sd.raoQ","sd.fred","sd.fric","sd.feve","sd.fspe","sd.fdis","sd.fdiv","sd.fori","sd.TaxRich","n.fric","se.simpson","se.raoQ","se.fred","se.fric","se.feve","se.fspe","se.fdis","se.fdiv","se.fori","se.TaxRich","lower.ci.simpson","upper.ci.simpson","lower.ci.raoQ","upper.ci.raoQ","lower.ci.fred","upper.ci.fred","lower.ci.fric","upper.ci.fric","lower.ci.feve","upper.ci.feve","lower.ci.fspe","upper.ci.fspe","lower.ci.fdis","upper.ci.fdis","lower.ci.fdiv","upper.ci.fdiv","lower.ci.fori","upper.ci.fori","lower.ci.TaxRich","upper.ci.TaxRich"
"1","-1",0.98705252505803,0.689061701135269,0.301899501810774,0.615868598390122,0.793766837724002,0.488886485845379,0.580285551667465,0.771795383993289,0.276359341372326,77.8900311551302,0.00120812581254273,0.00853866974561165,0.00862274246217125,0.0715635713119185,0.0174312539447366,0.0180292219253706,0.0224010609326539,0.0124555147756087,0.0155485305859599,7.08006493550848,627505,1.525118426073e-06,1.07790781622123e-05,1.08852101956676e-05,9.03406914331905e-05,2.20049321889106e-05,2.27597972667017e-05,2.82787359042259e-05,1.5723639784274e-05,1.96282127646108e-05,0.00893775911319281,0.987049535875077,0.987055514240983,0.689040574489534,0.689082827781004,0.301878167149675,0.301920836471873,0.615691533547042,0.616045663233202,0.79372370876624,0.793809966681764,0.488841877376398,0.48893109431436,0.580230126256657,0.580340977078273,0.771764566166163,0.771826201820416,0.276320870708022,0.27639781203663,77.8725134353767,77.9075488748837
"2","-2",0.988158280300731,0.689712481748244,0.302022458838177,0.644812066961285,0.793055669841675,0.488454554041683,0.58010165580638,0.771845610524204,0.27527978336041,85.0752376475088,0.00103037677153688,0.00797928403433053,0.00802580753968536,0.0685932873877688,0.0157082749587477,0.0166564074345644,0.0205879555475982,0.0119353174380237,0.0146755705608078,7.27065799072081,627505,1.30073092036755e-06,1.00729187153239e-05,1.01316492337231e-05,8.65910531948892e-05,1.98298714692513e-05,2.10267785249683e-05,2.59899010805243e-05,1.50669511045782e-05,1.85262021910741e-05,0.00917836069406136,0.988155730910056,0.988160829691406,0.689692739152262,0.689732224344225,0.302002601132272,0.302042316544082,0.644642351288283,0.644981782634288,0.79301680393281,0.793094535750539,0.488413342233572,0.488495765849795,0.580050716438046,0.580152595174714,0.771816079785722,0.771875141262686,0.275243472601307,0.275316094119513,85.0572483564126,85.093226938605
"3","-3",0.989339567313428,0.690241592290423,0.302320951196253,0.680698862411747,0.792912279575462,0.487819386817344,0.579626540221405,0.771773124215861,0.275687962095991,94.3487812846113,0.000815758223149553,0.0073715519472255,0.00741939109060598,0.0643899985331218,0.015453854234293,0.0156406345039479,0.0194535741908162,0.0113386590587808,0.0134039522016077,7.14930008894476,627505,1.02979994668555e-06,9.30572758792884e-06,9.36611894642781e-06,8.12848895356282e-05,1.95086948742209e-05,1.97444832564574e-05,2.45578764590318e-05,1.43137392463372e-05,1.69209318041539e-05,0.00902516044767421,0.989337548938728,0.989341585688128,0.69022335336432,0.690259831216525,0.302302593905035,0.302339308487472,0.680539546648473,0.680858178175021,0.79287404316237,0.792950515988553,0.487780688266624,0.487858085368064,0.579578407575168,0.579674672867643,0.771745069748341,0.77180117868338,0.275654797615101,0.275721126576882,94.3310922610596,94.366470308163
"4","-4",0.989566877887499,0.690645703378505,0.302072824132815,0.690764586956137,0.79268743202843,0.48831347765366,0.580327824765439,0.771770495555954,0.275623506673718,96.3914375184261,0.000790612223740694,0.00735278342236002,0.00740177468544296,0.0645367769015595,0.0151464723746141,0.0153393824271771,0.0190738328883886,0.0110903244050574,0.0131928782575175,7.20501517949487,627505,9.98056044980685e-07,9.28203450662442e-06,9.34388028234468e-06,8.14701801667274e-05,1.91206610012833e-05,1.93641875220182e-05,2.40784971994708e-05,1.40002456082626e-05,1.66544754814317e-05,0.00909549427410696,0.989564921729823,0.989568834045175,0.690627510890078,0.690663895866932,0.302054510428661,0.302091137836969,0.690604908029199,0.690924265883076,0.792649956149221,0.792724907907639,0.488275524470321,0.488351430836999,0.580280631687097,0.58037501784378,0.771743055525859,0.771797935586049,0.27559086443863,0.275656148908805,96.3736106428418,96.4092643940104
"5","-5",0.989262156387057,0.690259019150717,0.302248729981998,0.679481488672823,0.793114651177281,0.488086015649912,0.579927942417886,0.771740383022235,0.275902580583367,93.659204309129,0.000814258478309463,0.00737082929912391,0.00742054562169492,0.0651367955057676,0.0153284636248063,0.0154502496409188,0.0190875056486207,0.011050989578766,0.0134958264780843,7.03564487477943,627505,1.0279066931301e-06,9.30481532868908e-06,9.36757640774429e-06,8.22276339184507e-05,1.93504038030434e-05,1.95041444940235e-05,2.40957574701717e-05,1.39505899616895e-05,1.70369124002821e-05,0.00888168394916451,0.989260141723073,0.989264171051041,0.690240782012613,0.690277256288821,0.302230369834202,0.302267090129793,0.679320325160948,0.679642652184698,0.793076725009587,0.793152577344976,0.488047788155419,0.488124243144405,0.579880715509971,0.579975169325802,0.771713040315606,0.771767725728863,0.275869188784246,0.275935972382487,93.6417964948894,93.6766121233686
"6","-6",0.989177393504125,0.690404593462811,0.302041686310018,0.677900416134062,0.792333105809515,0.488403031689561,0.580324982099407,0.771872345923025,0.276063286264918,92.9765930151951,0.000863541909285504,0.00735952302100504,0.00741525629347056,0.0649256001724282,0.0151455936612446,0.0155683271888943,0.0193292368623602,0.0113156190246151,0.0136535486614731,7.28414924474637,627505,1.09012129685872e-06,9.29054246661595e-06,9.36089924560375e-06,8.19610243559097e-05,1.91195517277812e-05,1.96532036749906e-05,2.44009150327397e-05,1.42846538809899e-05,1.72360183258318e-05,0.00919539183427175,0.989175256901523,0.989179530106727,0.690386384299057,0.690422802626566,0.302023339249245,0.302060033370791,0.677739775168335,0.678061057099788,0.792295632104447,0.792370579514584,0.488364512043878,0.488441551335243,0.580277157092505,0.580372807106308,0.771844348461884,0.771900343384167,0.276029504224602,0.276097068305234,92.958570343613,92.9946156867771
"7","-7",0.989047421143558,0.69014948822825,0.302207729285917,0.673537528301402,0.792791529938407,0.488207453569538,0.580064329601522,0.771968822656739,0.275619864822173,91.8726990223185,0.000872299147949935,0.00755721741737155,0.00763145810387635,0.0654571390700132,0.0156102336603756,0.0159140994147716,0.0197026591967629,0.0112300604111819,0.0134403528259471,7.20227846330681,627505,1.10117629287816e-06,9.54010866535097e-06,9.63382890357225e-06,8.26320304369529e-05,1.9706105724731e-05,2.0089700923402e-05,2.48723173295801e-05,1.41766460754273e-05,1.69668833617849e-05,0.00909203948798948,0.989045262873521,0.989049579413596,0.690130789922791,0.690168186533709,0.302188847291812,0.302226611280022,0.673375572185386,0.673699484417418,0.792752906606412,0.792830153270402,0.488168078403319,0.488246828735757,0.580015580661314,0.58011307854173,0.771941036887415,0.771996608426063,0.27558661027771,0.275653119366635,91.8548789180037,91.8905191266334
"8","0",0.987523859808894,0.688923972427236,0.3023723848178,0.625353227318926,0.792803723912957,0.487809126406837,0.579162400601938,0.772459615171452,0.275446250454113,80.7630106533016,0.00110039391192189,0.00832207768851254,0.00838763426926923,0.0714201090251538,0.0168518759245401,0.0174646049268505,0.0217230014371759,0.0121560639914626,0.0154699033654772,6.97299976024439,627505,1.38911942248669e-06,1.05056558631492e-05,1.05884134271581e-05,9.01595869697978e-05,2.12735347755868e-05,2.20470339276711e-05,2.74227645974374e-05,1.53456179724214e-05,1.95289550370594e-05,0.00880260177288045,0.987521137179604,0.987526582438184,0.688903381680394,0.688944563174078,0.3023516318688,0.3023931377668,0.625176517434756,0.625529937203095,0.792762028470548,0.792845419355365,0.487765914931024,0.48785233788265,0.579108652867299,0.579216148336578,0.772429538254891,0.772489692088012,0.275407974331755,0.27548452657647,80.7457578375783,80.7802634690248
"9","1",0.986993435646791,0.688936998465458,0.301983887329001,0.612510844783621,0.793258368341288,0.48854062995285,0.579887015129044,0.7721284079422,0.276083070518279,77.5148580489398,0.00119017748628119,0.00848621665601177,0.00858495654737577,0.0696959271348667,0.0173027175616421,0.0177638798116736,0.0220559802538757,0.0127972271761735,0.0156104767868151,6.94941271772847,627505,1.50246075017992e-06,1.0712862232859e-05,1.08375098698387e-05,8.79830077232674e-05,2.18426699441651e-05,2.2424833687072e-05,2.78431116536533e-05,1.61550119750743e-05,1.97064126436039e-05,0.00877282587306593,0.986990490872152,0.986996380421429,0.68891600160081,0.688957995330105,0.301962646159002,0.302005128498999,0.612338400924613,0.612683288642629,0.793215557412295,0.793301179270281,0.488496678001687,0.488584581904013,0.579832443527724,0.579941586730363,0.772096744639485,0.772160071244914,0.276044446584734,0.276121694451825,77.4976635930204,77.5320525048593
"10","10",0.967210485566958,0.674702532958587,0.302423814919599,0.298612321742983,0.805392865427367,0.488141184772575,0.57350399260632,0.772479496442769,0.276068876650725,31.28753237026,0.00539326696288431,0.015815728245514,0.0159204982759425,0.084481024416033,0.0297575521198333,0.0321282422577234,0.0397548797752418,0.0220056530785207,0.0275060518086104,4.92291368541792,627505,6.80837271783285e-06,1.99655187552276e-05,2.00977787419342e-05,0.000106647474669247,3.75654510330065e-05,4.05581718028707e-05,5.01859152764301e-05,2.77795794439536e-05,3.47231935666852e-05,0.00621460637100014,0.967197141375898,0.967223829758017,0.674663401185414,0.674741664731759,0.302384423921116,0.302463205918082,0.298403296130409,0.298821347355557,0.805319238354263,0.805466492500471,0.488061692063232,0.488220677481917,0.57340562983012,0.573602355382521,0.772425049362533,0.772533943523006,0.276000820310635,0.276136932990815,31.2753519421005,31.2997127984195
