"","PC1","PC2","PC3","PC4"
"33222133",0.11487979997934,-0.223753260280789,0.0336270939268108,-0.19237925753962
"32122133",0.223493247147016,-0.119888372925839,0.0433591946147071,-0.131555373963366
"33222112",-0.0966921897521024,-0.125607367947342,-0.172869150771631,0.0241296170056576
"44122132",0.232243589719525,-0.143948904994588,-0.149159923360808,0.0471634034849923
"44122133",0.250599279112414,-0.17115293443881,0.0555455194933177,-0.154784571727608
"32122113",0.011549033045151,-0.0675959138991006,0.0146201473043005,-0.0809871825093061
"43522113",-0.0843911278698003,-0.171475196674865,-0.0102353716297865,-0.170343751705941
"43222114",-0.119071526228333,-0.142000070421058,-0.00582055860430492,-0.127032896329179
"43222113",-0.107561279956425,-0.205695220508288,-0.0182021507154098,-0.172769650530371
"43522114",-0.0952388124540893,-0.106362173817616,0.00222206044260623,-0.122304290982522
"43222112",-0.110589872542928,-0.179423979626412,-0.201594493915787,0.00511921684469358
"34432111",0.0651977647764454,0.170505351530152,0.0783018574548649,0.116194759603596
"32222114",-0.085436535630926,-0.00762236944315376,-0.0153695022446741,-0.119518140103646
"32222112",-0.0785990845395591,-0.0484658150610122,-0.201332206030787,0.00889121151600498
"42422112",-0.0650018052414997,0.0411600505353352,-0.232633356718959,-0.0125156181635382
"43422121",0.033211649679618,-0.0914307709336714,0.0798743400985017,-0.0219577068365648
"32522113",-0.0549536212772189,-0.0357479190363146,-0.0128749212305804,-0.156812822229492
"33222113",-0.0937389770030932,-0.150179534261612,0.00269350823581572,-0.145502062977075
"34422113",-0.0141698858257461,0.0760503266283918,-0.00866331550960071,-0.158570461358966
"34432112",0.0566296221042409,0.18020630296343,-0.23358737638921,0.100134540861732
"32222113",-0.073311902741395,-0.0724172171773229,-0.0268712203612528,-0.165222387547575
"32122112",0.002232533204701,-0.0416519062825115,-0.15717250458661,0.091120615715089
"11422114",-0.0509953525251877,0.32477877873148,0.0224729083984922,-0.127219877435333
"32522114",-0.0664156924791316,0.0304648014678736,-0.00129736315271451,-0.108805868263336
"33422113",-0.0639799524878195,-0.0128278276741975,-0.00595332337177077,-0.147854687958144
"33422112",-0.0697955788843044,0.00933146607361458,-0.177021623773454,0.0210810468611336
"32422112",-0.0520027008900752,0.0903900832052704,-0.203128256463635,0.00988118810804361
"11122114",0.00600775505904281,0.188656745435896,0.0839944452423156,-0.0410991067840631
"11422112",-0.0513647698173193,0.276494374844841,-0.178926965943553,0.00867888831988702
"11422111",-0.0443306173090486,0.270941127111705,0.109964275106207,0.0264094461139217
"43422114",-0.0869133792875109,0.000156436725691551,-0.0181871104039534,-0.12582407409916
"41422114",-0.0916605843270097,0.180155676561464,0.00397307524782241,-0.152995561626648
"31421114",-0.22496999739224,0.278447090245348,0.0589993767682582,-0.0968678832579125
"31521114",-0.242587652593369,0.167683133570993,0.0851770396716496,-0.0967858669079721
"31422113",-0.0686575560447986,0.161705211755246,0.0169903990710426,-0.176012194656534
"31422114",-0.0765842048387273,0.220741822376869,0.0218635425712424,-0.125285127559017
"31422112",-0.0746823968058868,0.18115149264209,-0.153681823751109,-0.00536020519910854
"43422112",-0.0821313509968066,-0.0376524355599702,-0.206378120059107,0.000889340258298267
"31422133",0.137055528930031,0.136455623536575,0.0523077676466841,-0.236254086767388
"31421113",-0.218191409474579,0.204735050113655,0.0557223302763507,-0.163246226798081
"31422132",0.123299066329723,0.154767584594609,-0.135778372628667,-0.0484108093891535
"31431113",-0.159624023367103,0.325892441347461,0.0625371427532121,-0.0827321492180404
"11121112",-0.141275465451446,0.183537503049427,-0.100398921730453,0.184717602399505
"42422113",-0.0567768299583638,0.0179224464178763,-0.0548370454622576,-0.194190459455995
